POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;4150;125;575;450;457;594
0;0;4150;125;574;449;460;595
0;0;4150;125;585;451;460;593
0;0;4150;125;575;450;458;595
0;0;4150;125;574;449;457;593
0;0;4150;125;575;447;455;594
0;0;4150;125;575;451;458;592
0;0;4150;125;575;452;456;594
0;0;4150;125;575;451;458;594
0;0;4150;125;576;448;458;595
0;0;4150;125;575;450;467;595
0;0;4150;125;576;451;458;595
0;0;4150;125;575;450;458;595
0;0;4150;125;577;450;458;592
0;0;4150;125;568;450;456;594
0;0;4150;125;576;452;458;594
0;0;4150;125;574;448;458;595
0;0;4150;125;575;448;457;594
0;0;4150;125;575;452;458;596
0;0;4150;125;575;450;455;594
0;0;4150;125;574;449;459;593
0;0;4150;125;575;449;459;595
0;0;4150;125;572;453;452;592
0;0;4150;125;575;450;459;593
0;0;4150;125;575;453;458;604
0;0;4150;125;577;452;459;598
0;0;4150;125;575;451;460;593
0;0;4150;125;574;448;458;594
0;0;4150;125;570;450;458;595
0;0;4150;125;580;450;456;594
0;0;4150;125;575;450;458;589
0;0;4150;125;575;451;458;594
0;0;4150;125;578;450;458;594
0;0;4150;125;565;450;458;593
0;0;4150;125;570;451;458;593
0;0;4150;125;572;449;464;594
0;0;4150;125;577;450;458;598
0;0;4150;125;578;447;458;595
0;0;4150;125;576;450;457;595
0;0;4150;125;574;448;459;595
0;0;4150;125;575;448;452;600
0;0;4150;125;576;450;456;592
0;0;4150;125;576;453;459;594
0;0;4150;125;576;450;458;595
0;0;4150;125;571;451;458;593
0;0;4150;125;576;451;458;594
0;0;4150;125;576;452;459;595
0;0;4150;125;575;450;458;595
0;0;4150;125;573;450;458;595
0;0;4150;125;576;450;458;595
0;0;4150;125;578;451;458;595
1922;0;4150;125;577;459;452;586
1922;0;4150;125;580;460;452;586
1922;0;4150;125;582;466;453;587
1922;0;4150;125;589;459;451;587
1922;0;4150;125;579;462;452;579
1922;0;4150;125;581;460;450;587
1922;0;4150;125;580;459;458;587
1922;0;4150;125;580;459;452;587
1922;0;4150;125;580;460;449;587
1922;0;4150;125;581;462;461;587
1922;0;4150;125;580;459;452;587
1922;0;4150;125;582;459;454;587
1922;0;4150;125;579;462;453;588
1922;0;4150;125;583;459;451;588
1922;0;4150;125;582;462;452;587
1922;0;4150;125;581;459;452;587
1922;0;4150;125;580;459;453;585
1922;0;4150;125;581;460;450;589
1922;0;4150;125;580;459;450;587
1922;0;4150;125;581;459;450;587
1922;0;4150;125;581;460;447;587
1922;0;4150;125;582;459;458;589
1922;0;4150;125;579;459;451;583
1922;0;4150;125;581;462;452;587
1922;0;4150;125;580;460;451;587
1922;0;4150;125;577;459;451;587
1922;0;4150;125;580;459;451;589
1922;0;4150;125;579;466;451;587
1922;0;4150;125;580;459;451;588
1922;0;4150;125;577;461;452;587
1922;0;4150;125;582;460;452;579
1922;0;4150;125;580;458;454;588
1922;0;4150;125;580;462;451;587
1922;0;4150;125;580;459;450;588
1922;0;4150;125;581;461;453;579
1922;0;4150;125;581;460;451;581
1922;0;4150;125;580;462;450;593
1922;0;4150;125;580;460;451;587
1922;0;4150;125;574;456;451;588
1922;0;4150;125;580;456;452;587
1922;0;4150;125;580;461;451;587
1922;0;4150;125;578;461;451;595
1922;0;4150;125;588;459;450;585
1922;0;4150;125;580;462;450;585
1922;0;4150;125;580;460;450;585
1922;0;4150;125;580;459;451;587
1922;0;4150;125;580;460;447;588
1922;0;4150;125;580;459;451;587
1922;0;4150;125;581;459;451;590
1922;0;4150;125;580;455;451;584
1922;0;4150;125;586;460;450;594
3844;0;4150;125;575;457;451;586
3844;0;4150;125;581;461;449;586
3844;0;4150;125;580;464;451;587
3844;0;4150;125;579;460;450;588
3844;0;4150;125;581;462;455;586
3844;0;4150;125;580;462;450;585
3844;0;4150;125;582;461;447;589
3844;0;4150;125;576;462;450;586
3844;0;4150;125;581;462;451;580
3844;0;4150;125;578;465;452;588
3844;0;4150;125;580;460;450;589
3844;0;4150;125;583;462;458;593
3844;0;4150;125;586;463;450;586
3844;0;4150;125;581;462;450;589
3844;0;4150;125;581;454;450;583
3844;0;4150;125;581;462;454;587
3844;0;4150;125;573;463;450;583
3844;0;4150;125;578;464;450;595
3844;0;4150;125;580;459;451;587
3844;0;4150;125;581;461;450;586
3844;0;4150;125;582;462;453;587
3844;0;4150;125;581;461;449;584
3844;0;4150;125;581;462;450;592
3844;0;4150;125;580;460;450;591
3844;0;4150;125;581;462;452;587
3844;0;4150;125;581;460;458;586
3844;0;4150;125;581;463;450;587
3844;0;4150;125;580;462;451;586
3844;0;4150;125;581;461;452;586
3844;0;4150;125;580;462;450;586
3844;0;4150;125;583;463;451;587
3844;0;4150;125;581;462;449;584
3844;0;4150;125;588;463;450;587
3844;0;4150;125;581;462;450;583
3844;0;4150;125;577;454;452;586
3844;0;4150;125;582;462;449;587
3844;0;4150;125;581;462;450;587
3844;0;4150;125;580;462;447;587
3844;0;4150;125;581;469;448;585
3844;0;4150;125;581;462;448;587
3844;0;4150;125;582;461;447;587
3844;0;4150;125;581;459;453;586
3844;0;4150;125;577;460;449;586
3844;0;4150;125;581;459;450;586
3844;0;4150;125;576;462;450;586
3844;0;4150;125;581;462;450;587
3844;0;4150;125;581;463;449;587
3844;0;4150;125;580;460;450;586
3844;0;4150;125;582;465;448;588
3844;0;4150;125;580;463;452;586
3844;0;4150;125;579;469;450;588
5766;0;4150;125;582;464;449;586
5766;0;4150;125;582;463;450;586
5766;0;4150;125;581;462;451;585
5766;0;4150;125;575;462;449;586
5766;0;4150;125;574;463;444;593
5766;0;4150;125;581;462;450;586
5766;0;4150;125;581;462;450;589
5766;0;4150;125;581;463;448;579
5766;0;4150;125;581;463;445;586
5766;0;4150;125;580;463;449;583
5766;0;4150;125;581;464;452;577
5766;0;4150;125;579;466;448;586
5766;0;4150;125;581;462;450;583
5766;0;4150;125;581;464;449;592
5766;0;4150;125;582;460;450;586
5766;0;4150;125;588;464;448;586
5766;0;4150;125;581;463;450;586
5766;0;4150;125;581;463;448;586
5766;0;4150;125;579;461;451;585
5766;0;4150;125;581;463;450;588
5766;0;4150;125;584;457;450;587
5766;0;4150;125;574;462;449;585
5766;0;4150;125;580;463;448;586
5766;0;4150;125;581;462;450;586
5766;0;4150;125;581;458;450;586
5766;0;4150;125;581;467;449;593
5766;0;4150;125;581;462;448;586
5766;0;4150;125;584;463;449;584
5766;0;4150;125;581;462;451;582
5766;0;4150;125;581;463;445;585
5766;0;4150;125;581;464;450;586
5766;0;4150;125;579;461;448;585
5766;0;4150;125;580;462;452;586
5766;0;4150;125;576;463;452;586
5766;0;4150;125;587;463;449;586
5766;0;4150;125;581;456;449;591
5766;0;4150;125;582;463;449;584
5766;0;4150;125;581;468;449;578
5766;0;4150;125;583;463;450;588
5766;0;4150;125;580;460;451;577
5766;0;4150;125;581;463;446;586
5766;0;4150;125;580;462;450;588
5766;0;4150;125;576;461;459;586
5766;0;4150;125;579;463;448;588
5766;0;4150;125;581;463;449;588
5766;0;4150;125;578;461;448;586
5766;0;4150;125;581;462;451;586
5766;0;4150;125;580;465;449;585
5766;0;4150;125;581;463;449;587
5766;0;4150;125;581;461;446;586
5766;0;4150;125;582;463;450;585
7688;0;4150;125;581;462;449;579
7688;0;4150;125;581;463;449;583
7688;0;4150;125;581;461;450;586
7688;0;4150;125;583;462;449;588
7688;0;4150;125;579;464;445;585
7688;0;4150;125;574;462;449;586
7688;0;4150;125;579;462;450;588
7688;0;4150;125;581;463;449;586
7688;0;4150;125;581;463;450;586
7688;0;4150;125;579;463;450;586
7688;0;4150;125;581;463;450;585
7688;0;4150;125;581;466;449;587
7688;0;4150;125;581;465;448;586
7688;0;4150;125;582;458;451;584
7688;0;4150;125;581;463;449;586
7688;0;4150;125;578;462;451;587
7688;0;4150;125;577;462;450;588
7688;0;4150;125;581;464;450;588
7688;0;4150;125;582;461;449;586
7688;0;4150;125;580;463;449;587
7688;0;4150;125;580;463;450;585
7688;0;4150;125;581;462;449;586
7688;0;4150;125;578;465;450;589
7688;0;4150;125;584;462;450;586
7688;0;4150;125;580;465;449;587
7688;0;4150;125;577;464;448;586
7688;0;4150;125;580;462;451;588
7688;0;4150;125;580;463;449;586
7688;0;4150;125;580;467;449;586
7688;0;4150;125;578;463;445;586
7688;0;4150;125;581;466;447;586
7688;0;4150;125;580;464;450;586
7688;0;4150;125;581;458;452;588
7688;0;4150;125;581;464;449;585
7688;0;4150;125;581;463;449;588
7688;0;4150;125;580;461;449;586
7688;0;4150;125;581;463;449;583
7688;0;4150;125;582;464;449;585
7688;0;4150;125;580;465;447;585
7688;0;4150;125;580;460;448;586
7688;0;4150;125;581;466;452;587
7688;0;4150;125;580;463;449;586
7688;0;4150;125;577;464;448;585
7688;0;4150;125;581;463;447;585
7688;0;4150;125;579;463;449;586
7688;0;4150;125;580;464;447;584
7688;0;4150;125;591;463;449;586
7688;0;4150;125;582;464;449;583
7688;0;4150;125;579;463;449;587
7688;0;4150;125;580;463;449;587
7688;0;4150;125;580;463;449;586
9610;0;4150;125;580;456;450;587
9610;0;4150;125;584;464;448;585
9610;0;4150;125;581;465;446;587
9610;0;4150;125;580;460;450;587
9610;0;4150;125;581;464;450;588
9610;0;4150;125;581;462;446;585
9610;0;4150;125;579;466;450;589
9610;0;4150;125;581;463;449;586
9610;0;4150;125;581;463;447;586
9610;0;4150;125;580;459;444;589
9610;0;4150;125;579;464;450;586
9610;0;4150;125;583;464;449;587
9610;0;4150;125;578;466;451;586
9610;0;4150;125;582;468;450;587
9610;0;4150;125;581;464;449;586
9610;0;4150;125;581;464;449;583
9610;0;4150;125;580;460;449;587
9610;0;4150;125;580;462;449;588
9610;0;4150;125;580;464;446;587
9610;0;4150;125;593;464;449;588
9610;0;4150;125;580;465;455;584
9610;0;4150;125;581;462;451;586
9610;0;4150;125;579;465;460;586
9610;0;4150;125;581;463;449;586
9610;0;4150;125;583;464;450;587
9610;0;4150;125;581;464;449;586
9610;0;4150;125;582;463;449;586
9610;0;4150;125;588;464;449;587
9610;0;4150;125;580;463;448;587
9610;0;4150;125;580;467;449;582
9610;0;4150;125;590;461;448;586
9610;0;4150;125;581;462;445;585
9610;0;4150;125;578;464;450;585
9610;0;4150;125;575;464;449;587
9610;0;4150;125;580;464;451;589
9610;0;4150;125;583;462;447;587
9610;0;4150;125;581;462;449;585
9610;0;4150;125;580;468;450;587
9610;0;4150;125;580;464;448;588
9610;0;4150;125;581;463;449;587
9610;0;4150;125;581;465;449;586
9610;0;4150;125;581;465;448;584
9610;0;4150;125;580;464;449;586
9610;0;4150;125;577;464;449;588
9610;0;4150;125;580;463;449;586
9610;0;4150;125;580;460;448;586
9610;0;4150;125;581;466;452;585
9610;0;4150;125;580;463;457;589
9610;0;4150;125;580;464;449;582
9610;0;4150;125;581;466;448;586
9610;0;4150;125;580;463;447;588
11532;0;4150;125;579;464;449;587
11532;0;4150;125;579;462;450;589
11532;0;4150;125;582;466;450;588
11532;0;4150;125;573;464;449;587
11532;0;4150;125;580;464;454;581
11532;0;4150;125;580;464;449;586
11532;0;4150;125;595;468;449;586
11532;0;4150;125;579;467;449;586
11532;0;4150;125;582;470;447;586
11532;0;4150;125;581;459;449;586
11532;0;4150;125;581;464;449;583
11532;0;4150;125;581;464;451;587
11532;0;4150;125;581;464;445;587
11532;0;4150;125;580;464;449;586
11532;0;4150;125;580;463;450;587
11532;0;4150;125;581;466;449;586
11532;0;4150;125;580;464;448;585
11532;0;4150;125;580;464;444;586
11532;0;4150;125;582;464;449;585
11532;0;4150;125;585;464;449;586
11532;0;4150;125;581;465;449;591
11532;0;4150;125;579;463;449;584
11532;0;4150;125;580;464;445;586
11532;0;4150;125;581;461;450;586
11532;0;4150;125;582;465;450;586
11532;0;4150;125;581;464;447;586
11532;0;4150;125;580;467;448;585
11532;0;4150;125;581;463;450;588
11532;0;4150;125;581;463;449;586
11532;0;4150;125;580;464;450;588
11532;0;4150;125;579;464;448;590
11532;0;4150;125;585;459;450;586
11532;0;4150;125;580;462;457;587
11532;0;4150;125;578;464;455;589
11532;0;4150;125;582;465;445;580
11532;0;4150;125;573;458;448;586
11532;0;4150;125;581;464;446;584
11532;0;4150;125;576;459;449;586
11532;0;4150;125;581;464;448;596
11532;0;4150;125;582;466;449;578
11532;0;4150;125;581;461;448;587
11532;0;4150;125;580;465;448;587
11532;0;4150;125;582;463;448;588
11532;0;4150;125;582;464;448;587
11532;0;4150;125;580;464;449;586
11532;0;4150;125;581;464;447;590
11532;0;4150;125;581;465;446;586
11532;0;4150;125;580;464;449;586
11532;0;4150;125;581;463;447;592
11532;0;4150;125;580;464;449;584
11532;0;4150;125;582;465;449;587
13454;0;4150;125;581;457;449;587
13454;0;4150;125;582;466;448;587
13454;0;4150;125;581;474;444;584
13454;0;4150;125;581;464;449;586
13454;0;4150;125;581;456;449;593
13454;0;4150;125;578;462;447;579
13454;0;4150;125;581;464;449;582
13454;0;4150;125;583;472;449;588
13454;0;4150;125;581;459;448;583
13454;0;4150;125;590;472;449;586
13454;0;4150;125;580;464;449;586
13454;0;4150;125;580;465;448;587
13454;0;4150;125;580;462;448;585
13454;0;4150;125;581;461;449;587
13454;0;4150;125;581;464;448;587
13454;0;4150;125;581;464;441;586
13454;0;4150;125;582;466;448;587
13454;0;4150;125;590;464;448;586
13454;0;4150;125;581;464;457;586
13454;0;4150;125;576;463;450;586
13454;0;4150;125;581;464;449;595
13454;0;4150;125;582;462;446;588
13454;0;4150;125;581;464;449;587
13454;0;4150;125;578;464;448;588
13454;0;4150;125;578;467;451;588
13454;0;4150;125;584;464;447;579
13454;0;4150;125;587;457;449;588
13454;0;4150;125;581;464;448;586
13454;0;4150;125;581;464;447;586
13454;0;4150;125;581;463;448;583
13454;0;4150;125;579;464;442;586
13454;0;4150;125;581;464;450;587
13454;0;4150;125;580;464;448;587
13454;0;4150;125;581;465;449;587
13454;0;4150;125;581;465;448;587
13454;0;4150;125;581;464;447;587
13454;0;4150;125;581;465;448;587
13454;0;4150;125;581;470;449;585
13454;0;4150;125;580;465;448;591
13454;0;4150;125;581;464;448;587
13454;0;4150;125;581;464;449;585
13454;0;4150;125;582;466;446;585
13454;0;4150;125;585;462;449;586
13454;0;4150;125;581;465;448;588
13454;0;4150;125;580;464;448;587
13454;0;4150;125;585;464;449;586
13454;0;4150;125;581;464;448;587
13454;0;4150;125;581;466;448;586
13454;0;4150;125;581;463;447;586
13454;0;4150;125;579;459;449;593
13454;0;4150;125;580;465;455;587
15376;0;4150;125;583;467;448;586
15376;0;4150;125;580;470;449;586
15376;0;4150;125;582;468;448;586
15376;0;4150;125;580;465;448;586
15376;0;4150;125;581;466;447;587
15376;0;4150;125;583;464;451;586
15376;0;4150;125;581;462;448;582
15376;0;4150;125;582;464;447;586
15376;0;4150;125;581;465;448;586
15376;0;4150;125;581;465;447;580
15376;0;4150;125;582;467;448;587
15376;0;4150;125;583;466;453;587
15376;0;4150;125;578;466;447;586
15376;0;4150;125;578;465;449;587
15376;0;4150;125;582;465;447;586
15376;0;4150;125;582;464;448;586
15376;0;4150;125;573;463;447;586
15376;0;4150;125;581;465;451;592
15376;0;4150;125;582;465;447;586
15376;0;4150;125;582;465;446;587
15376;0;4150;125;580;464;442;586
15376;0;4150;125;582;463;447;586
15376;0;4150;125;582;473;448;586
15376;0;4150;125;584;464;447;586
15376;0;4150;125;581;465;446;588
15376;0;4150;125;586;463;450;586
15376;0;4150;125;581;465;448;586
15376;0;4150;125;581;465;452;586
15376;0;4150;125;582;464;447;586
15376;0;4150;125;579;466;444;586
15376;0;4150;125;576;466;448;586
15376;0;4150;125;583;465;448;586
15376;0;4150;125;582;462;447;587
15376;0;4150;125;584;465;447;587
15376;0;4150;125;580;473;450;586
15376;0;4150;125;582;465;448;587
